ID,Name,Designer,Link,Description,Image,Materials,Code,Width,Depth,Height,Seat Height
4,Victoria,David/Nicolas,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/victoria-sofa/,"Lebanese design duo David/Nicolas are behind this modular system comprising armchairs, corner sofas, chaises longues and ottomans offering luxurious",https://www.tacchini.it/wp-content/uploads/2021/11/Tacchini-2021-Victoria-ChaiseLongue-OVIC1430.svg,"Internal structure: 18 mm thick poplar plywood, with 45 × 45 mm solid fir crosspieces with elastic straps.; Padding: multi-density polyurethane foam, last layer in memory foam.; Structure: iron tube Ø 40 mm, chromed or painted in different colors.; Cover: not removable.; Structure:; Top:",Cod.,1430,80,143,74.0
4,Victoria,David/Nicolas,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/victoria-sofa/,"Lebanese design duo David/Nicolas are behind this modular system comprising armchairs, corner sofas, chaises longues and ottomans offering luxurious",https://www.tacchini.it/wp-content/uploads/2021/11/Tacchini-2021-Victoria-ChaiseLongue-OVIC1430.svg,"Internal structure: 18 mm thick poplar plywood, with 45 × 45 mm solid fir crosspieces with elastic straps.; Padding: multi-density polyurethane foam, last layer in memory foam.; Structure: iron tube Ø 40 mm, chromed or painted in different colors.; Cover: not removable.; Structure:; Top:",Cod.,1431,84,143,74.0
4,Victoria,David/Nicolas,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/victoria-sofa/,"Lebanese design duo David/Nicolas are behind this modular system comprising armchairs, corner sofas, chaises longues and ottomans offering luxurious",https://www.tacchini.it/wp-content/uploads/2021/11/Tacchini-2021-Victoria-ChaiseLongue-OVIC1430.svg,"Internal structure: 18 mm thick poplar plywood, with 45 × 45 mm solid fir crosspieces with elastic straps.; Padding: multi-density polyurethane foam, last layer in memory foam.; Structure: iron tube Ø 40 mm, chromed or painted in different colors.; Cover: not removable.; Structure:; Top:",Cod.,1431,84,143,74.0
4,Victoria,David/Nicolas,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/victoria-sofa/,"Lebanese design duo David/Nicolas are behind this modular system comprising armchairs, corner sofas, chaises longues and ottomans offering luxurious",https://www.tacchini.it/wp-content/uploads/2021/11/Tacchini-2021-Victoria-ChaiseLongue-OVIC1430.svg,"Internal structure: 18 mm thick poplar plywood, with 45 × 45 mm solid fir crosspieces with elastic straps.; Padding: multi-density polyurethane foam, last layer in memory foam.; Structure: iron tube Ø 40 mm, chromed or painted in different colors.; Cover: not removable.; Structure:; Top:",Cod.,1432,88,143,74.0
4,Victoria,David/Nicolas,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/victoria-sofa/,"Lebanese design duo David/Nicolas are behind this modular system comprising armchairs, corner sofas, chaises longues and ottomans offering luxurious",https://www.tacchini.it/wp-content/uploads/2021/11/Tacchini-2021-Victoria-ChaiseLongue-OVIC1430.svg,"Internal structure: 18 mm thick poplar plywood, with 45 × 45 mm solid fir crosspieces with elastic straps.; Padding: multi-density polyurethane foam, last layer in memory foam.; Structure: iron tube Ø 40 mm, chromed or painted in different colors.; Cover: not removable.; Structure:; Top:",Cod.,900,80,90,74.0
4,Victoria,David/Nicolas,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/victoria-sofa/,"Lebanese design duo David/Nicolas are behind this modular system comprising armchairs, corner sofas, chaises longues and ottomans offering luxurious",https://www.tacchini.it/wp-content/uploads/2021/11/Tacchini-2021-Victoria-ChaiseLongue-OVIC1430.svg,"Internal structure: 18 mm thick poplar plywood, with 45 × 45 mm solid fir crosspieces with elastic straps.; Padding: multi-density polyurethane foam, last layer in memory foam.; Structure: iron tube Ø 40 mm, chromed or painted in different colors.; Cover: not removable.; Structure:; Top:",Cod.,901,84,90,74.0
4,Victoria,David/Nicolas,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/victoria-sofa/,"Lebanese design duo David/Nicolas are behind this modular system comprising armchairs, corner sofas, chaises longues and ottomans offering luxurious",https://www.tacchini.it/wp-content/uploads/2021/11/Tacchini-2021-Victoria-ChaiseLongue-OVIC1430.svg,"Internal structure: 18 mm thick poplar plywood, with 45 × 45 mm solid fir crosspieces with elastic straps.; Padding: multi-density polyurethane foam, last layer in memory foam.; Structure: iron tube Ø 40 mm, chromed or painted in different colors.; Cover: not removable.; Structure:; Top:",Cod.,901,84,90,74.0
4,Victoria,David/Nicolas,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/victoria-sofa/,"Lebanese design duo David/Nicolas are behind this modular system comprising armchairs, corner sofas, chaises longues and ottomans offering luxurious",https://www.tacchini.it/wp-content/uploads/2021/11/Tacchini-2021-Victoria-ChaiseLongue-OVIC1430.svg,"Internal structure: 18 mm thick poplar plywood, with 45 × 45 mm solid fir crosspieces with elastic straps.; Padding: multi-density polyurethane foam, last layer in memory foam.; Structure: iron tube Ø 40 mm, chromed or painted in different colors.; Cover: not removable.; Structure:; Top:",Cod.,902,88,90,74.0
4,Victoria,David/Nicolas,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/victoria-sofa/,"Lebanese design duo David/Nicolas are behind this modular system comprising armchairs, corner sofas, chaises longues and ottomans offering luxurious",https://www.tacchini.it/wp-content/uploads/2021/11/Tacchini-2021-Victoria-ChaiseLongue-OVIC1430.svg,"Internal structure: 18 mm thick poplar plywood, with 45 × 45 mm solid fir crosspieces with elastic straps.; Padding: multi-density polyurethane foam, last layer in memory foam.; Structure: iron tube Ø 40 mm, chromed or painted in different colors.; Cover: not removable.; Structure:; Top:",Cod.,900,60,81,4.0
4,Victoria,David/Nicolas,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/victoria-sofa/,"Lebanese design duo David/Nicolas are behind this modular system comprising armchairs, corner sofas, chaises longues and ottomans offering luxurious",https://www.tacchini.it/wp-content/uploads/2021/11/Tacchini-2021-Victoria-ChaiseLongue-OVIC1430.svg,"Internal structure: 18 mm thick poplar plywood, with 45 × 45 mm solid fir crosspieces with elastic straps.; Padding: multi-density polyurethane foam, last layer in memory foam.; Structure: iron tube Ø 40 mm, chromed or painted in different colors.; Cover: not removable.; Structure:; Top:",Cod.,901,64,85,4.0
4,Victoria,David/Nicolas,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/victoria-sofa/,"Lebanese design duo David/Nicolas are behind this modular system comprising armchairs, corner sofas, chaises longues and ottomans offering luxurious",https://www.tacchini.it/wp-content/uploads/2021/11/Tacchini-2021-Victoria-ChaiseLongue-OVIC1430.svg,"Internal structure: 18 mm thick poplar plywood, with 45 × 45 mm solid fir crosspieces with elastic straps.; Padding: multi-density polyurethane foam, last layer in memory foam.; Structure: iron tube Ø 40 mm, chromed or painted in different colors.; Cover: not removable.; Structure:; Top:",Cod.,901,64,85,4.0
4,Victoria,David/Nicolas,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/victoria-sofa/,"Lebanese design duo David/Nicolas are behind this modular system comprising armchairs, corner sofas, chaises longues and ottomans offering luxurious",https://www.tacchini.it/wp-content/uploads/2021/11/Tacchini-2021-Victoria-ChaiseLongue-OVIC1430.svg,"Internal structure: 18 mm thick poplar plywood, with 45 × 45 mm solid fir crosspieces with elastic straps.; Padding: multi-density polyurethane foam, last layer in memory foam.; Structure: iron tube Ø 40 mm, chromed or painted in different colors.; Cover: not removable.; Structure:; Top:",Cod.,902,68,89,4.0
4,Victoria,David/Nicolas,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/victoria-sofa/,"Lebanese design duo David/Nicolas are behind this modular system comprising armchairs, corner sofas, chaises longues and ottomans offering luxurious",https://www.tacchini.it/wp-content/uploads/2021/11/Tacchini-2021-Victoria-ChaiseLongue-OVIC1430.svg,"Internal structure: 18 mm thick poplar plywood, with 45 × 45 mm solid fir crosspieces with elastic straps.; Padding: multi-density polyurethane foam, last layer in memory foam.; Structure: iron tube Ø 40 mm, chromed or painted in different colors.; Cover: not removable.; Structure:; Top:",Cod.,1,80,78,78.0
4,Victoria,David/Nicolas,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/victoria-sofa/,"Lebanese design duo David/Nicolas are behind this modular system comprising armchairs, corner sofas, chaises longues and ottomans offering luxurious",https://www.tacchini.it/wp-content/uploads/2021/11/Tacchini-2021-Victoria-ChaiseLongue-OVIC1430.svg,"Internal structure: 18 mm thick poplar plywood, with 45 × 45 mm solid fir crosspieces with elastic straps.; Padding: multi-density polyurethane foam, last layer in memory foam.; Structure: iron tube Ø 40 mm, chromed or painted in different colors.; Cover: not removable.; Structure:; Top:",Cod.,1,50,50,78.0
5,Orsola,Gastone Rinaldi,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/orsola/,"Roundness and comfort. Tradition and innovation. These are the keywords of Orsola, designed in 1970 by Gastone Rinaldi. The new edition stays true to its",https://www.tacchini.it/wp-content/uploads/2022/01/Tacchini-2021-Orsola-Sofa-01.svg,"Internal structure: 18 mm thick poplar plywood, with 45 × 45 mm solid fir crosspieces with elastic straps.; Padding: polyurethane foam in different densities.; Structure: T23 polished chrome iron tube.; Cover: not removable.; Structure:",Cod.,240,240,99,70.0
5,Orsola,Gastone Rinaldi,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/orsola/,"Roundness and comfort. Tradition and innovation. These are the keywords of Orsola, designed in 1970 by Gastone Rinaldi. The new edition stays true to its",https://www.tacchini.it/wp-content/uploads/2022/01/Tacchini-2021-Orsola-Sofa-01.svg,"Internal structure: 18 mm thick poplar plywood, with 45 × 45 mm solid fir crosspieces with elastic straps.; Padding: polyurethane foam in different densities.; Structure: T23 polished chrome iron tube.; Cover: not removable.; Structure:",Cod.,170,170,99,70.0
6,Julep,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/julep/,"Soft, enveloping shapes characterize this family of upholstered pieces. Julep is influenced by the 1950s Avant-Garde movement, drawing upon its simplicity",https://www.tacchini.it/wp-content/uploads/2018/05/Julep-1.svg,"Internal frame: poplar and birch plywood 18 mm thick, with elastic belts.; Padding: cold foam.; Base: poplar plywood 3 mm thick covered with the same fabric of the product.; Upholstery: non removable cover.; Notes: the products cannot be realized in Leather, Super Leather, Aniline Leather and Vinyl.; ® Registered Design",SofaCod.,240,240,126,75.0
6,Julep,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/julep/,"Soft, enveloping shapes characterize this family of upholstered pieces. Julep is influenced by the 1950s Avant-Garde movement, drawing upon its simplicity",https://www.tacchini.it/wp-content/uploads/2018/05/Julep-1.svg,"Internal frame: poplar and birch plywood 18 mm thick, with elastic belts.; Padding: cold foam.; Base: poplar plywood 3 mm thick covered with the same fabric of the product.; Upholstery: non removable cover.; Notes: the products cannot be realized in Leather, Super Leather, Aniline Leather and Vinyl.; ® Registered Design",Chaise-longueCod.,208,208,121,76.0
6,Julep,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/julep/,"Soft, enveloping shapes characterize this family of upholstered pieces. Julep is influenced by the 1950s Avant-Garde movement, drawing upon its simplicity",https://www.tacchini.it/wp-content/uploads/2018/05/Julep-1.svg,"Internal frame: poplar and birch plywood 18 mm thick, with elastic belts.; Padding: cold foam.; Base: poplar plywood 3 mm thick covered with the same fabric of the product.; Upholstery: non removable cover.; Notes: the products cannot be realized in Leather, Super Leather, Aniline Leather and Vinyl.; ® Registered Design",IslandCod.,174,174,137,75.0
6,Julep,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/julep/,"Soft, enveloping shapes characterize this family of upholstered pieces. Julep is influenced by the 1950s Avant-Garde movement, drawing upon its simplicity",https://www.tacchini.it/wp-content/uploads/2018/05/Julep-1.svg,"Internal frame: poplar and birch plywood 18 mm thick, with elastic belts.; Padding: cold foam.; Base: poplar plywood 3 mm thick covered with the same fabric of the product.; Upholstery: non removable cover.; Notes: the products cannot be realized in Leather, Super Leather, Aniline Leather and Vinyl.; ® Registered Design",ArmchairCod.,102,102,5,87.0
6,Julep,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/julep/,"Soft, enveloping shapes characterize this family of upholstered pieces. Julep is influenced by the 1950s Avant-Garde movement, drawing upon its simplicity",https://www.tacchini.it/wp-content/uploads/2018/05/Julep-1.svg,"Internal frame: poplar and birch plywood 18 mm thick, with elastic belts.; Padding: cold foam.; Base: poplar plywood 3 mm thick covered with the same fabric of the product.; Upholstery: non removable cover.; Notes: the products cannot be realized in Leather, Super Leather, Aniline Leather and Vinyl.; ® Registered Design",OttomanCod.,120,120,92,42.0
6,Julep,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/julep/,"Soft, enveloping shapes characterize this family of upholstered pieces. Julep is influenced by the 1950s Avant-Garde movement, drawing upon its simplicity",https://www.tacchini.it/wp-content/uploads/2018/05/Julep-1.svg,"Internal frame: poplar and birch plywood 18 mm thick, with elastic belts.; Padding: cold foam.; Base: poplar plywood 3 mm thick covered with the same fabric of the product.; Upholstery: non removable cover.; Notes: the products cannot be realized in Leather, Super Leather, Aniline Leather and Vinyl.; ® Registered Design",OttomanCod.,68,68,66,42.0
7,Julep Chaise-longue,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/julep-chaise-longue/,"Organic and versatile in shape, the new Julep, by designer Jonas Wagell, is a natural extension, in both practicality and beauty, of the existing range of",https://www.tacchini.it/wp-content/uploads/2018/06/Julep-Chaiselongue-R.svg,"Internal frame: poplar and birch plywood 18 mm thick, with elastic belts.; Padding: cold foam.; Base: poplar plywood 3 mm thick covered with the same fabric of the product.; Upholstery: non removable cover.; Notes: the products cannot be realized in Leather, Super Leather, Aniline Leather and Vinyl.; ® Registered Design",Chaise-longueCod.,208,208,121,76.0
7,Julep Chaise-longue,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/julep-chaise-longue/,"Organic and versatile in shape, the new Julep, by designer Jonas Wagell, is a natural extension, in both practicality and beauty, of the existing range of",https://www.tacchini.it/wp-content/uploads/2018/06/Julep-Chaiselongue-R.svg,"Internal frame: poplar and birch plywood 18 mm thick, with elastic belts.; Padding: cold foam.; Base: poplar plywood 3 mm thick covered with the same fabric of the product.; Upholstery: non removable cover.; Notes: the products cannot be realized in Leather, Super Leather, Aniline Leather and Vinyl.; ® Registered Design",SofaCod.,240,240,126,75.0
7,Julep Chaise-longue,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/julep-chaise-longue/,"Organic and versatile in shape, the new Julep, by designer Jonas Wagell, is a natural extension, in both practicality and beauty, of the existing range of",https://www.tacchini.it/wp-content/uploads/2018/06/Julep-Chaiselongue-R.svg,"Internal frame: poplar and birch plywood 18 mm thick, with elastic belts.; Padding: cold foam.; Base: poplar plywood 3 mm thick covered with the same fabric of the product.; Upholstery: non removable cover.; Notes: the products cannot be realized in Leather, Super Leather, Aniline Leather and Vinyl.; ® Registered Design",IslandCod.,174,174,137,75.0
7,Julep Chaise-longue,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/julep-chaise-longue/,"Organic and versatile in shape, the new Julep, by designer Jonas Wagell, is a natural extension, in both practicality and beauty, of the existing range of",https://www.tacchini.it/wp-content/uploads/2018/06/Julep-Chaiselongue-R.svg,"Internal frame: poplar and birch plywood 18 mm thick, with elastic belts.; Padding: cold foam.; Base: poplar plywood 3 mm thick covered with the same fabric of the product.; Upholstery: non removable cover.; Notes: the products cannot be realized in Leather, Super Leather, Aniline Leather and Vinyl.; ® Registered Design",ArmchairCod.,102,102,5,87.0
7,Julep Chaise-longue,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/julep-chaise-longue/,"Organic and versatile in shape, the new Julep, by designer Jonas Wagell, is a natural extension, in both practicality and beauty, of the existing range of",https://www.tacchini.it/wp-content/uploads/2018/06/Julep-Chaiselongue-R.svg,"Internal frame: poplar and birch plywood 18 mm thick, with elastic belts.; Padding: cold foam.; Base: poplar plywood 3 mm thick covered with the same fabric of the product.; Upholstery: non removable cover.; Notes: the products cannot be realized in Leather, Super Leather, Aniline Leather and Vinyl.; ® Registered Design",OttomanCod.,120,120,92,42.0
7,Julep Chaise-longue,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/julep-chaise-longue/,"Organic and versatile in shape, the new Julep, by designer Jonas Wagell, is a natural extension, in both practicality and beauty, of the existing range of",https://www.tacchini.it/wp-content/uploads/2018/06/Julep-Chaiselongue-R.svg,"Internal frame: poplar and birch plywood 18 mm thick, with elastic belts.; Padding: cold foam.; Base: poplar plywood 3 mm thick covered with the same fabric of the product.; Upholstery: non removable cover.; Notes: the products cannot be realized in Leather, Super Leather, Aniline Leather and Vinyl.; ® Registered Design",OttomanCod.,68,68,66,42.0
8,Julep Island,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/julep-island/,"Soft, enveloping shapes characterize this family of upholstered pieces. Julep is influenced by the 1950s Avant-Garde movement, drawing upon its simplicity",https://www.tacchini.it/wp-content/uploads/2018/05/Julep-2.svg,"Internal frame: poplar and birch plywood 18 mm thick, with elastic belts.; Padding: cold foam.; Base: poplar plywood 3 mm thick covered with the same fabric of the product.; Upholstery: non removable cover.; Notes: the products cannot be realized in Leather, Super Leather, Aniline Leather and Vinyl.; ® Registered Design",IslandCod.,174,174,137,75.0
8,Julep Island,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/julep-island/,"Soft, enveloping shapes characterize this family of upholstered pieces. Julep is influenced by the 1950s Avant-Garde movement, drawing upon its simplicity",https://www.tacchini.it/wp-content/uploads/2018/05/Julep-2.svg,"Internal frame: poplar and birch plywood 18 mm thick, with elastic belts.; Padding: cold foam.; Base: poplar plywood 3 mm thick covered with the same fabric of the product.; Upholstery: non removable cover.; Notes: the products cannot be realized in Leather, Super Leather, Aniline Leather and Vinyl.; ® Registered Design",SofaCod.,240,240,126,75.0
8,Julep Island,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/julep-island/,"Soft, enveloping shapes characterize this family of upholstered pieces. Julep is influenced by the 1950s Avant-Garde movement, drawing upon its simplicity",https://www.tacchini.it/wp-content/uploads/2018/05/Julep-2.svg,"Internal frame: poplar and birch plywood 18 mm thick, with elastic belts.; Padding: cold foam.; Base: poplar plywood 3 mm thick covered with the same fabric of the product.; Upholstery: non removable cover.; Notes: the products cannot be realized in Leather, Super Leather, Aniline Leather and Vinyl.; ® Registered Design",Chaise-longueCod.,208,208,121,76.0
8,Julep Island,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/julep-island/,"Soft, enveloping shapes characterize this family of upholstered pieces. Julep is influenced by the 1950s Avant-Garde movement, drawing upon its simplicity",https://www.tacchini.it/wp-content/uploads/2018/05/Julep-2.svg,"Internal frame: poplar and birch plywood 18 mm thick, with elastic belts.; Padding: cold foam.; Base: poplar plywood 3 mm thick covered with the same fabric of the product.; Upholstery: non removable cover.; Notes: the products cannot be realized in Leather, Super Leather, Aniline Leather and Vinyl.; ® Registered Design",ArmchairCod.,102,102,5,87.0
8,Julep Island,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/julep-island/,"Soft, enveloping shapes characterize this family of upholstered pieces. Julep is influenced by the 1950s Avant-Garde movement, drawing upon its simplicity",https://www.tacchini.it/wp-content/uploads/2018/05/Julep-2.svg,"Internal frame: poplar and birch plywood 18 mm thick, with elastic belts.; Padding: cold foam.; Base: poplar plywood 3 mm thick covered with the same fabric of the product.; Upholstery: non removable cover.; Notes: the products cannot be realized in Leather, Super Leather, Aniline Leather and Vinyl.; ® Registered Design",OttomanCod.,120,120,92,42.0
8,Julep Island,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/julep-island/,"Soft, enveloping shapes characterize this family of upholstered pieces. Julep is influenced by the 1950s Avant-Garde movement, drawing upon its simplicity",https://www.tacchini.it/wp-content/uploads/2018/05/Julep-2.svg,"Internal frame: poplar and birch plywood 18 mm thick, with elastic belts.; Padding: cold foam.; Base: poplar plywood 3 mm thick covered with the same fabric of the product.; Upholstery: non removable cover.; Notes: the products cannot be realized in Leather, Super Leather, Aniline Leather and Vinyl.; ® Registered Design",OttomanCod.,68,68,66,42.0
9,Roma Nuvola,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/roma-nuvola/,"Part of the Roma family, the collection of sofas inspired by the soft sign of a hemicycle curve signed by Jonas Wagell – Roma Nuvola makes the “classic”",https://www.tacchini.it/wp-content/uploads/2023/04/Tacchini-Roma-Nuvola-02.svg,Feet,Cod.,245,248,144,77.0
9,Roma Nuvola,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/roma-nuvola/,"Part of the Roma family, the collection of sofas inspired by the soft sign of a hemicycle curve signed by Jonas Wagell – Roma Nuvola makes the “classic”",https://www.tacchini.it/wp-content/uploads/2023/04/Tacchini-Roma-Nuvola-02.svg,Feet,Cod.,245,248,144,77.0
10,Roma,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/roma/,"Almost suspended above the floor, with the slenderest of legs upholding a large, cosy seat. Jonas Wagell imagines a family of sofas, inspired by the soft,",https://www.tacchini.it/wp-content/uploads/2017/11/Roma-1.svg,Internal frame: 18 mm thick birch plywood and 25 mm thick poplar plywood with elastic belts.; Padding: differentiated - density polyurethane foam; Base: tubular metal feet Ø 16 mm. Powder-coated painted or chromed.; Upholstery: not removable.; Base:,Cod.,234,234,5,121.0
10,Roma,Jonas Wagell,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/roma/,"Almost suspended above the floor, with the slenderest of legs upholding a large, cosy seat. Jonas Wagell imagines a family of sofas, inspired by the soft,",https://www.tacchini.it/wp-content/uploads/2017/11/Roma-1.svg,Internal frame: 18 mm thick birch plywood and 25 mm thick poplar plywood with elastic belts.; Padding: differentiated - density polyurethane foam; Base: tubular metal feet Ø 16 mm. Powder-coated painted or chromed.; Upholstery: not removable.; Base:,Cod.,106,106,3,88.0
11,Grand Sesann,Gianfranco Frattini,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/grand-sesann/,Sesann is reborn in new dimensions to offer greater comfort and sensuality with a deep and welcoming seat that further enhances the important volumes of,https://www.tacchini.it/wp-content/uploads/2024/02/GrandSesann-1.svg,Internal frame: cold foam with backrest insert and seat in polyurethane foam. Seat in 18 mm thick poplar plywood and solid fir wood with elastic belts.; Base: painted or chromed metal.; Feet: walnut or gray stained ash.; Upholstery: not removable.; Base:; Feet:,Cod.,265,265,107,67.0
11,Grand Sesann,Gianfranco Frattini,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/grand-sesann/,Sesann is reborn in new dimensions to offer greater comfort and sensuality with a deep and welcoming seat that further enhances the important volumes of,https://www.tacchini.it/wp-content/uploads/2024/02/GrandSesann-1.svg,Internal frame: cold foam with backrest insert and seat in polyurethane foam. Seat in 18 mm thick poplar plywood and solid fir wood with elastic belts.; Base: painted or chromed metal.; Feet: walnut or gray stained ash.; Upholstery: not removable.; Base:; Feet:,Cod.,240,240,94,67.0
11,Grand Sesann,Gianfranco Frattini,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/grand-sesann/,Sesann is reborn in new dimensions to offer greater comfort and sensuality with a deep and welcoming seat that further enhances the important volumes of,https://www.tacchini.it/wp-content/uploads/2024/02/GrandSesann-1.svg,Internal frame: cold foam with backrest insert and seat in polyurethane foam. Seat in 18 mm thick poplar plywood and solid fir wood with elastic belts.; Base: painted or chromed metal.; Feet: walnut or gray stained ash.; Upholstery: not removable.; Base:; Feet:,Cod.,180,180,94,67.0
